osm_id,name,lat,lon,region,federal_district,cluster,cluster_name,dist_to_region_center_km,dist_to_moscow_km,federal_district_code,gps_density_5km,grp_per_capita_2021,population_2021,urban_pct
525659347,Сентелекская средняя общеобразовательная школа,51.2030644,83.7560883,Altay,СФО,6,Кластер 7,100.23071552710913,3036.2267874564604,7,0,278,2298,58
526262640,Школа №14,55.3097401,86.0950363,Kemerovo,СФО,4,Кластер 5,4.954552994938643,2988.1154844337307,7,188761,557,2666,86
528302613,Школа N82,55.0359574,73.3025408,Omsk,СФО,4,Кластер 5,6.684481025714936,2229.857759903099,7,139049,364,1944,72
529596339,Бабарыкинская средняя общеобразовательная школа,56.5489173,83.615376,Tomsk,СФО,4,Кластер 5,84.58985412726165,2796.523817794684,7,119,543,1077,70
529652528,Школа №38,56.072259,85.9818509,Kemerovo,СФО,4,Кластер 5,80.13274113482859,2951.7666432113824,7,29246,557,2666,86
533540802,Школа Эврика-развитие,56.494874,85.0532926,Tomsk,СФО,4,Кластер 5,3.844385955329965,2882.2090574130793,7,81963,543,1077,70
535940638,Ульяновская основная общеобразовательная школа,52.8406488,82.8074084,Altay,СФО,6,Кластер 7,98.80823792389292,2897.4682598412537,7,0,278,2298,58
539649000,Школа № 32,55.3206982,85.9390289,Kemerovo,СФО,4,Кластер 5,10.005135377294192,2978.471181743269,7,22028,557,2666,86
539947892,Школа № 60,53.7955487,87.3458699,Kemerovo,СФО,4,Кластер 5,191.36592139287268,3127.7919314557043,7,200419,557,2666,86
540259558,Ягуновская школа,55.2472784,86.008822,Kemerovo,СФО,4,Кластер 5,12.833162911881567,2985.547983929752,7,31331,557,2666,86
540325135,Биотехнологический лицей №21,54.9451495,83.1902108,Novosibirsk,СФО,4,Кластер 5,18.846968351875898,2830.2163410564526,7,19927,430,2798,79
540483634,Береговая школа,55.1454513,86.2995815,Kemerovo,СФО,4,Кластер 5,26.851548434453473,3006.865268350986,7,8259,557,2666,86
540485385,Школа искусств № 70,55.2547004,86.2269768,Kemerovo,СФО,4,Кластер 5,14.196366602563344,2998.124394587001,7,73188,557,2666,86
540492980,Звёздненская школа,55.4558649,85.8447151,Kemerovo,СФО,4,Кластер 5,18.982781291345876,2967.521671057056,7,13322,557,2666,86
541053168,Мозжухинская школа,55.4205543,85.9238658,Kemerovo,СФО,4,Кластер 5,12.634813800479192,2973.587167536493,7,55832,557,2666,86
542219728,Школа № 5,63.7961209,74.4822286,Yamal-Nenets,УФО,0,Кластер 1,476.3809775607184,2209.038457406753,6,164359,3492,541,85
542379364,Гимназия №1,55.0486378,74.5760906,Omsk,СФО,4,Кластер 5,77.29840672956178,2307.0287278768888,7,58158,364,1944,72
