osm_id,osm_type,lat,lon,name,addr_region,addr_city,addr_street,addr_housenumber,operator,capacity
900630410,way,43.4094888,120.1770066,巴彦诺尔第二小学,,,,,,
900630425,way,43.6481009,120.8099945,绍根镇第一中心总校,,,,,,
900630476,way,43.3926654,120.5146015,麦新镇义和小学,,,,,,
900630523,way,43.4569182,120.2475769,巴彦诺尔第一中心总校,,,,,,
900637556,way,43.8671308,135.2452773,"МКОУ ""СОШ с.Серафимовка""",,,,,,
901400809,way,45.4066454,134.3053269,МОБУ СОШ с. Малиново,,,,,,
901468694,way,43.4551912,120.7293928,麦新镇十三排小学,,,,,,
901539636,way,43.4181299,120.634108,麦新镇全发小学,,,,,,
901592517,way,63.5331052,120.1853282,,,,,,,
901592538,way,63.434916,120.3063519,,,,,,,
901592545,way,63.4425751,120.3302288,Верхневилюйская СОШ №1 им. И. Барахова,,,,,,
901592547,way,63.4452953,120.3114448,,,,,,,
901592554,way,63.4736219,120.1551988,,,,,,,
901879949,way,43.6033558,120.0546897,巴拉奇如德小学,,,,,,
901879962,way,43.7506977,120.1494952,天山口总校,,,,,,
901879982,way,43.5723132,120.5619505,柴达木中心总校,,,,,,
902189284,way,44.2664702,119.9755123,坤都中心总校,,,,,,
902343944,way,63.7574981,121.6224088,Школа №3,,,,,,
902343946,way,63.758742,121.6239771,,,,,,,
902343947,way,63.7481672,121.6492113,Вилюйская СОШ №1 им. Г. И. Чиряева,,,,,,
902575862,way,44.0081089,119.8474798,乌兰哈达小学,,,,,,
902929709,way,43.7136348,118.5102886,查干沐沦苏木沙巴尔台中心小学,,,,,,
903654930,way,43.1876822,118.5971184,五分地镇中心小学,,,,,,
903654942,way,43.2040976,118.600427,五分地中学,,,,,,
903655008,way,43.3223493,118.229704,,,,,,,
903655110,way,43.3127617,118.4647662,下场寄宿制小学,,,,,,
903655151,way,43.9453607,117.8682939,板石房子寄宿制小学,,,,,,
903655156,way,43.678824,118.2720964,林西县大井镇寄宿制小学,,,,,,
903655158,way,43.6106291,118.1851539,林西县大川寄宿制小学,,,,,,
903668771,way,44.1616167,131.6825473,МОБУ Владимировская СОШ,,,,,,
903990947,way,62.3606588,126.6348981,,,,,,,
904416055,way,62.5684398,126.8450551,,,,,,,
904613655,way,63.9613608,126.6266162,Куокуйская СОШ,,,,,,
904613675,way,63.9237919,127.4660919,Сангарская средняя школа,,,,,,
904963259,way,47.8518559,106.7840046,161-р сургууль,,,,,,
905538587,way,72.8380192,105.8080023,,,,,,,
906091533,way,44.094265,131.5818693,МОБУ Пореченская ООШ,,,,,,
906463619,way,44.8313672,126.5325646,榆树市第二实验中学西校,,,,,,
906463620,way,44.8274557,126.5291615,榆树市第二实验小学,,,,,,
906463624,way,44.8357538,126.534222,榆树市第三实验小学（原榆树市职教中心）,,,,,,
906463632,way,44.8210658,126.5460181,榆树市第一实验小学,,,,,,
906463633,way,44.841012,126.5415116,榆树市实验中学,,,,,,
907184683,way,47.3408496,123.9655436,二十九中学,,龙华街道,天齐庙前街,7号,,
