osm_id,osm_type,lat,lon,name,addr_region,addr_city,addr_street,addr_housenumber,operator,capacity
158310034,way,43.1145941,131.9112915,Средняя школа №28,,,,,,
158482118,way,43.241253,132.0204789,Детская школа искусств №5,,Владивосток,улица Успенского,112А,,
158634134,way,43.1350347,131.8918304,Средняя школа №26,,,,,,
160317832,way,43.7984392,131.9856871,МБОУ Средняя школа №130,,,,,,
165157194,way,43.3521011,132.1763553,МКУДО Детская школа искусств №1,,,,,,
165478993,way,43.1682985,131.913365,Детская школа искусств №6,,,,,,
165479004,way,43.168965,131.9061724,Средняя школа №7,,,,,,
165482326,way,43.1711077,131.9230563,Средняя школа №60,,,,,,
166558440,way,43.1733072,131.91444,Средняя школа №48,,,,,,
166706139,way,42.7424043,133.1222226,МОУ СОШ №18,,,улица Первостроителей,10,,
166809646,way,43.0923124,131.9681721,Средняя школа №33,,,,,,
166819476,way,43.1273282,131.9164907,Средняя школа №56,,,,,,
167167681,way,43.1188838,131.9287255,Средняя школа №73,,,,,,
167412448,way,43.3461204,132.1236364,МБОУ СОШ №31,,,,,,
167448048,way,43.1799399,131.9128879,Средняя школа №58,,,,,,
167933823,way,43.1030871,131.8997126,Детская художественная школа №3,,,,,,
167933881,way,43.0980943,131.8915175,Средняя школа №32,,,,,,
167933882,way,43.0980598,131.9076399,Средняя школа №74,,,,,,
168693223,way,43.1293112,131.8965728,Средняя школа №17,,,,,,
169059303,way,43.0951236,131.8614654,Средняя школа №6,,,,,,
169101483,way,43.1163951,131.8891717,Гимназия №1,,,,,,
169101491,way,43.1008931,131.9454337,Лицей №41,,,,,,
169101492,way,43.1504965,131.9128946,Начальная школа №10,,,,,,
169101495,way,43.216355,131.9552026,Средняя школа №16,,,,,,
169101496,way,43.0442737,131.8233291,Средняя школа №20,,,,,,
169101499,way,43.0856822,131.9006556,Средняя школа №35,,,,,,
169101501,way,43.0873872,131.8541906,Средняя школа №39,,,,,,
169101502,way,43.1061916,131.8733966,Средняя школа №42,,,,,,
169101504,way,43.2422344,132.0241115,Средняя школа №44,,,,,,
169101507,way,43.2567526,132.0353546,Лицей №3,,,,,,
169101509,way,43.1230799,132.0190106,Средняя школа №8,,,,,,
169101510,way,43.1168198,131.9034984,Средняя школа №9,,,,,,
169192326,way,43.1129351,131.926919,"Лицей ""Технический""",,,,,,
169192328,way,43.0986584,131.9302148,Средняя школа №45,,,,,,
169192332,way,43.0945495,131.9784518,Средняя школа №54,,,,,,
169192333,way,43.1381898,131.9618861,Средняя школа №55,,,,,,
169192338,way,43.12463,131.9562502,Средняя школа №64,,,,,,
169192339,way,43.1239084,131.9472258,Средняя школа №66,,,,,,
169192341,way,43.1611332,131.928056,Средняя школа №68,,,,,,
169192343,way,43.299873,132.083608,Средняя школа №70,,,,,,
169192344,way,43.3098703,132.0756862,Средняя школа №71,,,,,,
169192345,way,43.2110616,132.1489524,Средняя школа №72,,,,,,
169192346,way,43.1236439,131.8971484,Средняя школа №75,,,,,,
169210293,way,43.3463932,132.0694713,Средняя школа №20,,,,,,
169210297,way,43.2555117,132.045666,Школа-интернат,,,,,,
174749069,way,42.6064889,131.1731084,,,,Лесная улица,2,,
178314845,way,45.4652804,133.3921982,Школа №3,,,Пушкинская улица,10,,
178432107,way,43.3673673,132.3168531,Школа №7,,,,,,
180909739,way,48.4954242,135.0751565,Гимназия № 6,,,,,,
196279013,way,45.9426022,133.8108979,МБОУ СОШ №3,,,,,,
196279014,way,45.9459724,133.8152781,МОУ СОШ №4,,,,,,
203783289,way,45.4886018,133.4335085,Средняя школа №7,,,улица Челюскина,10,,
208805246,way,45.3074225,133.5091493,,,Глазовка,Центральная улица,30,,
216559667,way,43.7938693,131.9451558,3-й интернат,,Уссурийск,улица Горького,32,,
216559670,way,43.7934136,131.9446671,МБОУ СОШ №11,,Уссурийск,улица Горького,20,,
217392899,way,43.7907144,131.9422298,МБОУ СОШ Средняя школа №22,,,,,,
221913258,way,47.5432024,134.7588971,,,,Театральная улица,6,,
221913275,way,47.5400372,134.750423,Школа №20,,Вяземский,улица Котляра,37,,
222235240,way,48.3227663,134.8802789,МБОУ СОШ С. Осиновая Речка,,,,,,
225415742,way,43.3822607,133.9012647,МБОУ средняя СШ №1,,,Некрасовская улица,9,,
225419616,way,43.3816425,133.9006284,МБОУ Детская школа искусств,,,Некрасовская улица,7,,
227913676,way,45.5251637,131.9930945,,,,,,,
228760643,way,45.4652907,133.3971317,Средняя школа №1,,,Калининская улица,27,,
231529452,way,48.4580901,135.1121821,Гимназия № 1,,,,,,
237229072,way,45.4521578,133.381645,МОБУ СОШ № 2,,,улица Дзержинского,26,,
239186196,way,43.6260142,132.2290555,МБОУ СОШ с. Каменушка,,,,,,
239725434,way,43.0205247,131.8634184,Средняя школа №15,,Русский,Верхненабережная улица,15,,
240250152,way,48.3663257,135.1166636,МБОУ СОШ село Ильинка,,,,,,
242795631,way,47.362567,134.262287,,,,,,,
243363816,way,45.9811416,133.6623393,,,,,,,
243363818,way,45.9835693,133.6624988,,,,,,,
244496046,way,43.3753097,132.2363981,МБОУ СОШ №18,,,,,,
244656383,way,47.5279378,134.7565709,,,,,,,
245276442,way,48.4731921,135.3765447,,,,,,,
246407277,way,43.3447044,132.1462064,КГОБУ Коррекционная школа - интернат,,,,,,
249317585,way,48.4473216,135.2172339,,,,,,,
249319710,way,48.4051862,135.1926876,,,,,,,
249356053,way,48.1039384,135.1187503,,,,,,,
258875557,way,42.9034898,133.9026217,МБОУ Преображенская СОШ № 11,,,Морская улица,4,,
259443329,way,45.8961781,134.853357,,,Богуславец,Советская улица,20,,
259531825,way,43.8500525,131.8633391,Школа №1,,Новоникольск,Советская улица,79,,
259531826,way,43.8497552,131.8637822,класс труда,,Новоникольск,Советская улица,79 с2,Школа №1,
260621829,way,43.897299,131.3183317,,,,Школьная улица,14,,
260679755,way,43.803336,131.9853346,Муниципальное бюджетное общеобразовательное учреждение г.Уссурийска - гимназия №133,,,,,,
263719605,way,46.4488513,134.3036536,МОУ СОШ №2,,,,,,
273063408,way,48.1881162,135.0602525,,,,,,,
273063409,way,48.1881166,135.0610588,,,,,,,
274498123,way,48.3572652,134.2965659,抚远市第三小学,,,,,,
274498682,way,48.3553772,134.2923351,抚远市第三中学,,,,,,
274511405,way,48.359177,134.2844281,抚远市第一中学,,,,,,
274516356,way,48.3659163,134.2873736,第一小学,,,,,,
274519082,way,48.3584367,134.2867519,抚远市第二小学,,,,,,
286871913,way,48.0860986,135.8473917,МБОУ СОШ п.Дурмин,,,Комсомольская улица,12,,
288036425,way,48.3562557,135.0011799,,,,,,,
288731085,way,48.352439,135.2313266,Школа № 1,,,,,,
288731086,way,48.355933,135.2316856,Школа № 2,,,,,,
291081476,way,48.2413874,132.4473165,,,,,,,
303339484,way,48.1929544,136.1412136,"МОУ ""Средняя общеобразовательная школа""",,,,,,
304044529,way,46.7930917,134.0044507,,,,,,,
304044530,way,46.7907541,134.0047049,,,,,,,
304044531,way,46.8001564,134.0031383,,,,,,,
304044532,way,46.788416,133.9913025,,,,,,,
305400742,way,44.5758117,132.8250128,Школа №15,,,,,,
309687812,way,45.2422154,133.5055334,Курортовская средняя школа,,,,,,
311365498,way,43.0923641,131.9504631,Владивостокская специальная (коррекционная) общеобразовательная школа-интернат №2,,,,,,
316172214,way,43.1117098,133.1120368,Средняя Школа №6,,,,,,
316802245,way,44.5244573,132.7024887,Школа №4,,,,,,
317111692,way,43.0882801,133.2083609,Николаевская специальная коррекционная общеобразовательная школа-интернат,,,улица Суханова,24,,
332094593,way,47.9767773,131.9407734,Биджанская средняя школа,,,,,,
335577966,way,44.2566345,135.0584856,Школа № 2,,,,,,
337155283,way,44.5648899,132.7692449,Школа 3,,,,,,
341497617,way,44.2179603,135.5515583,Средняя школа,,,Школьная улица,1,,
345808737,way,48.2862657,132.5335642,,,,Школьная улица,3,,
347664305,way,46.7926389,134.2437324,,,,,,,
347696212,way,46.7347014,134.3291579,,,,,,,
347699507,way,47.0973767,134.2192373,,,,Уссурийская улица,12,,
347708679,way,47.1312159,134.3715171,,,,,,,
364711355,way,43.8127198,131.9827852,"Школа-интернат № 29 ОАО ""РЖД""",,,,,,
364715772,way,43.7671829,131.9787971,МБОУ СОШ №28,,,,,,
372459867,way,43.8049549,131.9955938,МБОУ Средняя школа №131,,,,,,
373719422,way,43.8105992,131.9893242,МБОУ ООШ №27,,,,,,
388242474,way,48.4934218,133.1008522,Средняя школа,,Найфельд,Школьная улица,11,,
388264136,way,48.4176164,132.8012346,,,,,,,
388719115,way,42.2585457,130.2879628,,,,,,,
389998303,way,45.2953317,130.9281312,鸡西市第一中学,,,,,,
394518018,way,48.0649873,136.3881402,МБОУ СОШ П. Золотой,,,Школьная улица,10,,
